date,close,open,adj_close
2019-09-25,19457.4,20145.0,19448.419
2019-09-26,19365.0,19399.0,19356.0617
2019-09-27,19325.2,19486.05,19316.28
2019-09-30,18888.15,19200.0,18879.4318
2019-10-01,18593.75,18915.15,18585.1676
2019-10-03,18259.6,18400.0,18251.1719
2019-10-04,18128.3,18375.7,18119.9325
2019-10-07,17826.3,18240.0,17818.0719
2019-10-09,18482.75,17937.7,18474.2189
2019-10-10,18268.75,18350.0,18260.3177
2019-10-11,18374.55,18382.95,18366.0688
2019-10-14,18695.6,18400.0,18686.9706
2019-10-15,18584.75,18750.0,18576.1718
2019-10-16,18595.85,18699.9,18587.2667
2019-10-17,18190.35,18650.0,18181.9538
2019-10-18,18679.75,18304.0,18671.1279
2019-10-22,19515.6,19400.0,19506.5921
2019-10-23,19764.95,19629.8,19755.8271
2019-10-24,20305.0,19888.5,20295.6278
2019-10-25,20130.75,20280.0,20121.4582
2019-10-27,20193.4,20399.0,20184.0793
2019-10-29,20341.05,20130.0,20331.6611
2019-10-30,20246.95,20600.0,20237.6046
2019-10-31,19903.05,20296.0,19893.8633
2019-11-01,20003.65,19952.6,19994.4169
2019-11-04,20106.45,19912.65,20097.1694
2019-11-05,19829.3,20199.0,19820.1473
2019-11-06,19801.0,19830.0,19791.8604
2019-11-07,20040.75,19950.0,20031.4998
2019-11-08,19985.95,20099.9,19976.725
2019-11-11,19784.0,19870.0,19774.8683
2019-11-13,19744.4,19825.0,19735.2865
2019-11-14,19670.5,19750.05,19661.4206
2019-11-15,19531.75,19793.4,19522.7347
2019-11-18,19869.3,19745.0,19860.1289
2019-11-19,20006.8,19900.0,19997.5654
2019-11-20,20289.95,20003.4,20280.5847
2019-11-21,20294.7,20290.0,20285.3325
2019-11-22,20297.7,20300.0,20288.3311
2019-11-25,20579.75,20399.0,20570.251
2019-11-26,21039.85,20685.0,21030.1386
2019-11-27,21337.95,21098.0,21328.101
2019-11-28,21185.4,21237.8,21175.6214
2019-11-29,20996.55,21230.0,20986.8586
2019-12-02,20918.0,21099.95,20908.3448
2019-12-03,20521.05,20910.0,20511.5781
2019-12-04,20436.8,20599.85,20427.3669
2019-12-05,20392.55,20425.0,20383.1374
2019-12-06,20304.7,20490.0,20295.3279
2019-12-09,20321.15,20290.05,20311.7703
2019-12-10,20106.6,20330.0,20097.3194
2019-12-11,19969.6,20167.1,19960.3826
2019-12-12,20086.0,19987.0,20076.7289
2019-12-13,20383.9,20211.5,20374.4914
2019-12-16,20302.15,20383.9,20292.7791
2019-12-17,20595.85,20390.0,20586.3435
2019-12-18,20338.8,20510.0,20329.4122
2019-12-19,20316.7,20348.0,20307.3224
2019-12-20,20553.3,20356.75,20543.8132
2019-12-23,20298.65,20539.95,20289.2807
2019-12-24,20269.3,20379.0,20259.9443
2019-12-26,20334.45,20298.95,20325.0642
2019-12-27,20506.1,20389.9,20496.635
2019-12-30,20497.35,20590.0,20487.889
2019-12-31,20363.95,20489.0,20354.5506
2020-01-02,21232.15,20320.0,21222.3498
2020-01-03,21122.25,21200.0,21112.5006
2020-01-06,21064.4,21124.8,21054.6773
2020-01-07,21963.15,21097.15,21953.0124
2020-01-08,22441.3,21849.0,22430.9417
2020-01-09,22814.55,22521.8,22804.0194
2020-01-10,23345.4,22866.5,23334.6244
2020-01-13,23829.2,23270.0,23818.2011
2020-01-14,23560.0,23670.0,23549.1254
2020-01-15,23728.55,23670.0,23717.5976
2020-01-16,23290.85,23750.0,23280.0996
2020-01-17,23325.9,23335.0,23315.1334
2020-01-20,23133.1,23333.2,23122.4224
2020-01-21,22953.5,23160.1,22942.9053
2020-01-22,23016.7,22960.0,23006.0761
2020-01-23,23079.05,23016.7,23068.3974
2020-01-24,23134.65,23011.1,23123.9717
2020-01-27,23598.45,23099.9,23587.5576
2020-01-28,23442.0,23560.0,23431.1798
2020-01-29,23506.2,23539.1,23495.3502
2020-01-30,23485.3,23427.3,23474.4598
2020-01-31,23006.9,23627.3,22996.2807
2020-02-01,22416.1,22999.95,22405.7534
2020-02-03,23267.5,22416.1,23256.7604
2020-02-04,24485.4,23400.0,24474.0982
2020-02-05,24893.45,24412.05,24881.9599
2020-02-06,25012.7,25048.0,25001.1548
2020-02-07,24918.15,25020.05,24906.6485
2020-02-10,24961.65,25000.0,24950.1284
2020-02-11,24813.45,25050.0,24801.9968
2020-02-12,24689.95,24981.0,24678.5538
2020-02-13,24616.1,24700.0,24604.7379
2020-02-14,24433.6,24750.0,24422.3221
2020-02-17,24028.05,24320.0,24016.9593
2020-02-18,23777.25,24000.0,23766.2751
2020-02-19,24533.25,24850.0,24521.9261
2020-02-20,24407.4,24400.0,24396.1342
2020-02-24,23831.6,24100.0,23831.6
2020-02-25,23572.05,23831.6,23572.05
2020-02-26,23465.15,23488.85,23465.15
2020-02-27,23812.55,23549.0,23812.55
2020-02-28,22670.95,23400.0,22670.95
2020-03-02,23042.0,22810.0,23042.0
2020-03-03,23593.15,23299.95,23593.15
2020-03-04,23256.0,23799.0,23256.0
2020-03-05,23066.2,23283.0,23066.2
2020-03-06,23110.45,22799.9,23110.45
2020-03-09,21860.15,23000.5,21860.15
2020-03-11,21894.9,21780.0,21894.9
2020-03-12,20273.5,21006.15,20273.5
2020-03-13,21308.2,19100.5,21308.2
2020-03-16,20158.05,20405.0,20158.05
2020-03-17,20005.5,19905.05,20005.5
2020-03-18,19293.95,20299.0,19293.95
2020-03-19,17731.45,17990.0,17731.45
2020-03-20,18903.65,17385.0,18903.65
2020-03-23,16959.4,17113.0,16959.4
2020-03-24,16980.0,17400.0,16980.0
2020-03-25,17438.25,16800.0,17438.25
2020-03-26,17554.05,17450.0,17554.05
2020-03-27,17666.25,17800.0,17666.25
2020-03-30,16935.45,17000.0,16935.45
2020-03-31,17546.35,17274.15,17546.35
2020-04-01,16549.65,17500.0,16549.65
2020-04-03,15783.8,16661.2,15783.8
2020-04-07,16634.55,16090.0,16634.55
2020-04-08,16063.95,16351.15,16063.95
2020-04-09,16935.3,16208.0,16935.3
2020-04-13,17301.1,16900.0,17301.1
2020-04-15,18138.55,17389.05,18138.55
2020-04-16,18928.9,18050.2,18928.9
2020-04-17,18946.75,19400.0,18946.75
2020-04-20,18996.9,19025.0,18996.9
2020-04-21,18828.45,18900.0,18828.45
2020-04-22,19217.15,18838.45,19217.15
2020-04-23,18707.8,19050.0,18707.8
2020-04-24,18587.4,18739.0,18587.4
2020-04-27,19021.8,18655.0,19021.8
2020-04-28,18865.9,19080.0,18865.9
2020-04-29,19171.4,18999.0,19171.4
2020-04-30,19767.9,19300.0,19767.9
2020-05-04,18625.0,19174.0,18625.0
2020-05-05,18512.0,18675.5,18512.0
2020-05-06,18741.9,18624.9,18741.9
2020-05-07,18432.4,18741.9,18432.4
2020-05-08,18732.8,18680.0,18732.8
2020-05-11,18914.9,19099.0,18914.9
2020-05-12,19127.2,18845.2,19127.2
2020-05-13,19763.2,19534.9,19763.2
2020-05-14,19310.8,19700.0,19310.8
2020-05-15,19180.5,19509.9,19180.5
2020-05-18,18152.7,19200.0,18152.7
2020-05-19,18340.8,18300.0,18340.8
2020-05-20,19411.7,18351.1,19411.7
