date,close,open,adj_close
2019-10-11,720.15,693.0,715.3682
2019-10-14,714.95,716.0,710.2027
2019-10-15,723.05,710.0,718.2489
2019-10-16,707.25,714.8,702.5538
2019-10-17,709.85,714.0,705.1366
2019-10-18,709.55,715.1,704.8386
2019-10-22,713.3,706.7,708.5637
2019-10-23,715.35,721.0,710.6
2019-10-25,737.55,715.05,732.6526
2019-10-27,747.55,741.0,742.5862
2019-10-29,786.35,751.4,781.1286
2019-10-30,780.5,790.0,775.3174
2019-10-31,762.85,787.8,757.7846
2019-11-01,785.85,765.0,780.6319
2019-11-04,778.25,794.0,773.0824
2019-11-05,782.85,778.25,777.6518
2019-11-06,778.65,782.75,773.4797
2019-11-07,755.4,765.25,750.3841
2019-11-08,759.05,751.0,754.0099
2019-11-11,766.4,755.5,761.3111
2019-11-13,803.2,795.0,797.8667
2019-11-14,807.8,775.0,802.4362
2019-11-15,804.3,815.0,798.9594
2019-11-18,797.3,800.3,792.0059
2019-11-19,783.5,805.0,778.2975
2019-11-20,803.3,791.0,797.9661
2019-11-21,803.55,799.6,798.2144
2019-11-22,793.8,807.0,788.5291
2019-11-25,782.65,794.0,777.4532
2019-11-26,778.75,783.0,773.5791
2019-11-27,775.05,785.15,769.9036
2019-11-28,773.75,780.0,768.6123
2019-11-29,774.95,776.05,769.8043
2019-12-02,781.35,776.0,776.1618
2019-12-03,775.65,788.0,770.4997
2019-12-04,772.15,772.0,767.0229
2019-12-05,768.8,779.0,763.6951
2019-12-06,766.4,761.0,761.3111
2019-12-09,754.5,762.0,749.4901
2019-12-10,758.85,753.95,753.8112
2019-12-11,760.25,758.9,755.2019
2019-12-12,760.15,765.0,755.1026
2019-12-13,758.65,756.5,753.6125
2019-12-16,753.5,756.0,748.4967
2019-12-17,748.0,750.0,743.0333
2019-12-18,741.8,745.0,736.8744
2019-12-19,735.45,738.2,730.5666
2019-12-20,724.6,739.7,719.7886
2019-12-23,725.2,724.0,720.3846
2019-12-24,716.15,721.25,711.3947
2019-12-26,724.05,718.9,719.2423
2019-12-27,716.4,722.25,711.6431
2019-12-30,730.55,718.5,725.6991
2019-12-31,730.4,730.55,725.5501
2020-01-02,735.25,734.95,730.3679
2020-01-03,736.9,737.8,732.007
2020-01-06,729.5,731.1,724.6561
2020-01-07,734.9,725.2,730.0202
2020-01-08,735.55,723.8,730.6659
2020-01-09,735.25,736.0,730.3679
2020-01-10,736.45,731.8,731.5599
2020-01-13,803.45,759.5,798.1151
2020-01-14,858.8,805.0,853.0975
2020-01-15,852.4,855.0,846.74
2020-01-16,844.45,856.6,838.8428
2020-01-17,824.0,842.0,818.5286
2020-01-20,805.7,810.15,800.3501
2020-01-21,874.85,806.0,869.041
2020-01-22,857.35,869.1,851.6572
2020-01-23,853.85,861.0,848.1804
2020-01-24,852.85,855.0,847.187
2020-01-27,835.45,854.7,829.9026
2020-01-28,832.15,837.25,826.6245
2020-01-29,826.65,839.0,821.161
2020-01-30,814.9,832.0,809.489
2020-01-31,804.1,817.95,798.7607
2020-02-01,769.15,814.0,764.0428
2020-02-03,780.05,760.0,774.8704
2020-02-04,783.05,785.0,777.8505
2020-02-05,812.15,800.0,806.7573
2020-02-06,801.3,818.8,795.9793
2020-02-07,777.05,807.75,771.8904
2020-02-10,775.65,777.05,770.4997
2020-02-11,769.55,778.0,764.4402
2020-02-12,775.95,769.65,770.7977
2020-02-13,761.8,777.0,756.7416
2020-02-14,748.75,765.0,743.7783
2020-02-17,724.3,783.0,719.4906
2020-02-18,704.85,709.0,700.1698
2020-02-19,744.35,719.85,739.4075
2020-02-20,736.3,747.7,731.4109
2020-02-24,712.95,737.9,708.216
2020-02-25,714.2,724.1,709.4577
2020-02-26,705.35,707.0,700.6664
2020-02-27,726.85,704.0,722.0237
